Produtos,Inicial,Final,Premio1,Premio2,Premio3
ADEGA,"0.01",500,"54","94","113"
ADEGA,"500.01",600,"65","113","137"
ADEGA,"600.01",700,"75","131","158"
ADEGA,"700.01",800,"84","147","176"
ADEGA,"800.01",900,"96","167","202"
ADEGA,"900.01","1000","106","185","223"
ADEGA,"1000.01","1100","115","201","242"
ADEGA,"1100.01","1200","126","220","265"
ADEGA,"1200.01","1300","136","238","286"
ADEGA,"1300.01","1400","146","256","307"
ADEGA,"1400.01","1500","156","272","328"
ADEGA,"1500.01","1600","166","290","349"
ADEGA,"1600.01","1700","176","308","370"
ADEGA,"1700.01","1800","185","324","389"
ADEGA,"1800.01","1900","196","342","412"
ADEGA,"1900.01","2000","203","355","426"
ADEGA,"2000.01","2200","219","384","460"
ADEGA,"2200.01","2400","238","416","500"
ADEGA,"2400.01","2600","255","446","536"
ADEGA,"2600.01","2800","276","483","580"
ADEGA,"2800.01","3000","296","517","622"
ADEGA,"3000.01","3500","325","569","683"
ADEGA,"3500.01","4000","371","649","779"
ADEGA,"4000.01","5000","442","773","928"
ADEGA,"5000.01","6000","537","939","1128"
ADEGA,"6000.01","7000","628","1099","1319"
ADEGA,"7000.01","8000","722","1263","1516"
ADEGA,"8000.01","9000","802","1404","1684"
ADEGA,"9000.01","10000","874","1530","1835"
BEBEDOURO DE ÁGUA ELÉTRICO,"0.01",200,"23","41","48"
BEBEDOURO DE ÁGUA ELÉTRICO,"200.01",300,"32","55","67"
BEBEDOURO DE ÁGUA ELÉTRICO,"300.01",400,"44","76","92"
BEBEDOURO DE ÁGUA ELÉTRICO,"400.01",500,"52","91","109"
BEBEDOURO DE ÁGUA ELÉTRICO,"500.01",700,"68","118","143"
BEBEDOURO DE ÁGUA ELÉTRICO,"700.01","1000","94","164","197"
BEBEDOURO DE ÁGUA ELÉTRICO,"1000.01","1500","132","231","277"
BEBEDOURO DE ÁGUA ELÉTRICO,"1500.01","2500","148","259","311"
CENTRÍFUGA DE ROUPA,"0.01",300,"35","63","74"
CENTRÍFUGA DE ROUPA,"300.01",400,"45","80","95"
CENTRÍFUGA DE ROUPA,"400.01",500,"56","101","118"
CENTRÍFUGA DE ROUPA,"500.01","1000","94","168","197"
CENTRÍFUGA DE ROUPA,"1000.01","1500","153","275","321"
CENTRÍFUGA DE ROUPA -24 MESES DE GARANTIA DE FÁBRICA,"0.01",300,"53",,
CENTRÍFUGA DE ROUPA -24 MESES DE GARANTIA DE FÁBRICA,"300.01",400,"67",,
CENTRÍFUGA DE ROUPA -24 MESES DE GARANTIA DE FÁBRICA,"400.01",500,"84",,
CENTRÍFUGA DE ROUPA -24 MESES DE GARANTIA DE FÁBRICA,"500.01","1000","140",,
CENTRÍFUGA DE ROUPA -24 MESES DE GARANTIA DE FÁBRICA,"1000.01","1500","230",,
COIFA / EXAUSTOR,"0.01",300,"33","57","69"
COIFA / EXAUSTOR,"300.01",500,"47","82","99"
COIFA / EXAUSTOR,"500.01",600,"63","110","132"
COIFA / EXAUSTOR,"600.01",700,"73","128","153"
COIFA / EXAUSTOR,"700.01",800,"84","146","176"
COIFA / EXAUSTOR,"800.01",900,"94","164","197"
COIFA / EXAUSTOR,"900.01","1000","101","176","212"
COIFA / EXAUSTOR,"1000.01","1200","112","196","235"
COIFA / EXAUSTOR,"1200.01","1500","138","241","290"
COIFA / EXAUSTOR,"1500.01","2000","177","309","372"
COIFA / EXAUSTOR,"2000.01","3000","253","443","531"
COIFA / EXAUSTOR,"3000.01","6000","442","773","928"
COIFA / EXAUSTOR,"6000.01","7000","628","1099","1319"
COIFA / EXAUSTOR,"7000.01","10000","816","1428","1714"
CONDICIONADOR DE AR CONVENCIONAL,"0.01",600,"64","112","134"
CONDICIONADOR DE AR CONVENCIONAL,"600.01",700,"77","134","162"
CONDICIONADOR DE AR CONVENCIONAL,"700.01",800,"89","155","187"
CONDICIONADOR DE AR CONVENCIONAL,"800.01",900,"101","176","212"
CONDICIONADOR DE AR CONVENCIONAL,"900.01","1000","112","196","235"
CONDICIONADOR DE AR CONVENCIONAL,"1000.01","1250","132","231","277"
CONDICIONADOR DE AR CONVENCIONAL,"1250.01","1500","152","265","319"
CONDICIONADOR DE AR CONVENCIONAL,"1500.01","1750","180","314","378"
CONDICIONADOR DE AR CONVENCIONAL,"1750.01","2000","207","361","435"
CONDICIONADOR DE AR CONVENCIONAL,"2000.01","2500","248","434","521"
CONDICIONADOR DE AR CONVENCIONAL,"2500.01","3000","303","531","636"
CONDICIONADOR DE AR CONVENCIONAL,"3000.01","3500","359","628","754"
CONDICIONADOR DE AR CONVENCIONAL,"3500.01","4000","414","724","869"
CONDICIONADOR DE AR CONVENCIONAL,"4000.01","5000","477","835","1002"
CONDICIONADOR DE AR CONVENCIONAL,"5000.01","6000","583","1021","1224"
CONDICIONADOR DE AR CONVENCIONAL,"6000.01","7000","662","1159","1390"
CONDICIONADOR DE AR CONVENCIONAL,"7000.01","8000","764","1337","1604"
CONDICIONADOR DE AR CONVENCIONAL,"8000.01","9000","829","1451","1741"
CONDICIONADOR DE AR CONVENCIONAL,"9000.01","10000","927","1622","1947"
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"0.01",600,"96",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"600.01",700,"115",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"700.01",800,"133",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"800.01",900,"151",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"900.01","1000","168",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"1000.01","1250","198",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"1250.01","1500","227",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"1500.01","1750","269",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"1750.01","2000","310",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"2000.01","2500","372",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"2500.01","3000","455",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"3000.01","3500","538",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"3500.01","4000","621",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"4000.01","5000","716",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"5000.01","6000","875",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"6000.01","7000","993",,
CONDICIONADOR DE AR CONVENCIONAL - 24 MESES DE GARANTIA DE FÁBRICA,"7000.01","8000","1146",,
